nation,year_adjust,drug_type,prescriptions
England,2012,Lipid-lowering drugs,64399
England,2013,Lipid-lowering drugs,66795.43699999999
England,2014,Lipid-lowering drugs,68437
England,2015,Lipid-lowering drugs,69731
England,2016,Lipid-lowering drugs,70957.11099999999
England,2017,Lipid-lowering drugs,72612.423
England,2018,Lipid-lowering drugs,74289.246
England,2019,Lipid-lowering drugs,76044.298
Wales,2006,Lipid-lowering drugs,3626.038
Wales,2007,Lipid-lowering drugs,3984.704
Wales,2008,Lipid-lowering drugs,4297.272
Wales,2009,Lipid-lowering drugs,4561.957
Wales,2010,Lipid-lowering drugs,4693.213
Wales,2011,Lipid-lowering drugs,4787.763
Wales,2012,Lipid-lowering drugs,4955.99
Wales,2013,Lipid-lowering drugs,5076
Wales,2014,Lipid-lowering drugs,5150
Wales,2015,Lipid-lowering drugs,5129
Wales,2016,Lipid-lowering drugs,5112.39
Wales,2017,Lipid-lowering drugs,5140.285
Wales,2018,Lipid-lowering drugs,5158.818
Wales,2019,Lipid-lowering drugs,5306.25
Northern Ireland,2006,Lipid-lowering drugs,1227.005
Northern Ireland,2007,Lipid-lowering drugs,1393.151
Northern Ireland,2008,Lipid-lowering drugs,1533.576
Northern Ireland,2009,Lipid-lowering drugs,1652.093
Northern Ireland,2010,Lipid-lowering drugs,1761.303
Northern Ireland,2011,Lipid-lowering drugs,1837.652
Northern Ireland,2012,Lipid-lowering drugs,1900.886
Northern Ireland,2013,Lipid-lowering drugs,1954
Northern Ireland,2014,Lipid-lowering drugs,1988
Northern Ireland,2015,Lipid-lowering drugs,2035
Northern Ireland,2016,Lipid-lowering drugs,2083.123
Northern Ireland,2017,Lipid-lowering drugs,2130.435
Northern Ireland,2018,Lipid-lowering drugs,2179.828
Northern Ireland,2019,Lipid-lowering drugs,2237.168
Scotland,2006,Lipid-lowering drugs,4080.935
Scotland,2007,Lipid-lowering drugs,4376.477
Scotland,2008,Lipid-lowering drugs,4623.578
Scotland,2009,Lipid-lowering drugs,4826.463
Scotland,2010,Lipid-lowering drugs,4874.704
Scotland,2011,Lipid-lowering drugs,4861
Scotland,2012,Lipid-lowering drugs,4906.524
Scotland,2013,Lipid-lowering drugs,4976.701
Scotland,2014,Lipid-lowering drugs,5024
Scotland,2015,Lipid-lowering drugs,5002
Scotland,2016,Lipid-lowering drugs,4988.695
Scotland,2017,Lipid-lowering drugs,5003.1
Scotland,2018,Lipid-lowering drugs,5008.695
Scotland,2019,Lipid-lowering drugs,5172.515
